Cluster,Gene Name,COSG Score,Log Fold Change
Endothelial,Cldn5,0.9103374,10.491401
MOL,Ermn,0.90188247,10.172466
MOL,Mog,0.8882276,10.149477
PVM,Pf4,0.87739885,12.568842
Endothelial,Flt1,0.8751105,10.693915
MiCajal-Retziusoglia,P2ry12,0.8649895,9.791176
MOL,Mobp,0.8626067,9.131569
VLMC,Slc6a13,0.8589446,11.218123
PVM,F13a1,0.85653603,12.697088
Cajal-Retzius,Lhx1os,0.8546951,10.005338
OPC,Pdgfra,0.84466124,8.964596
Endothelial,Ly6c1,0.8432895,10.138175
VLMC,Col3a1,0.84280664,10.779458
PVM,Mrc1,0.83883166,11.517379
MiCajal-Retziusoglia,Gpr34,0.8375869,9.958597
MiCajal-Retziusoglia,Cx3cr1,0.833205,9.73695
VLMC,Col1a2,0.8238887,10.499281
Ependymal,Dynlrb2,0.79485875,10.041478
Cajal-Retzius,Gm27199,0.76274973,10.138957
Cajal-Retzius,Lhx5,0.7591755,9.478151
Immature-Pyr,Neurod6,0.7494721,5.3242736
Ependymal,Cfap126,0.7403521,9.661553
OPC,Lhfpl3,0.72328055,7.3877563
Ependymal,Calml4,0.710773,9.232364
NFOL,Bmp4,0.6881042,8.876209
OPC,C1ql1,0.6846023,7.154087
Immature-Pyr,Runx1t1,0.65524536,4.667888
NFOL,Enpp6,0.64481515,8.585208
Immature-GABA,Dlx2,0.5878275,6.5865846
Immature-GABA,Lhx6,0.5675422,6.9093633
Immature-Pyr,Gap43,0.5670396,4.5480156
Immature-GABA,Dlx5,0.5558854,7.176075
CA3-Pyr,Sv2b,0.54253834,5.9608064
GC-juv,Calb1,0.50790614,4.110198
NFOL,Bcas1,0.46028778,7.485635
GC-juv,2010300C02Rik,0.42801014,3.7473598
GC-adult,Zmym1,0.4228169,3.668148
GC-juv,Wipf3,0.40713316,3.6489012
Neuroblast,Mfap4,0.3961583,4.8874183
CA3-Pyr,Hapln4,0.37614843,5.7632437
Astro-adult,Gja1,0.37140828,6.731122
Neuroblast,Tac2,0.3687494,5.15057
Immature-Astro,Pla2g3,0.3684195,5.7958636
Astro-juv,Retsat,0.36791196,5.363305
Astro-adult,S1pr1,0.36562964,5.70788
CA3-Pyr,Rasgrp1,0.36331657,5.343317
Astro-adult,Sdc4,0.35224393,5.298236
nIPC-perin,Pbk,0.34729454,6.3558097
Astro-juv,Lcat,0.34502816,5.2922783
Immature-GC,Crabp1,0.3425215,4.068547
Neuroblast,Eomes,0.33105397,5.216131
nIPC-perin,Cdk1,0.31987783,5.8126817
nIPC-perin,Cdca8,0.31532994,5.8342814
GABA,Gad2,0.31308344,7.4171267
GC-adult,Rasl10a,0.30064577,3.6034083
GC-adult,Ntng1,0.29860818,3.0328748
Astro-juv,Hsd11b1,0.28614137,4.9796343
nIPC,2810417H13Rik,0.279083,6.6675725
Immature-GC,Gal,0.2773227,3.8443937
GABA,Coro6,0.27602705,7.193811
RGL,Hopxos,0.2696065,6.7218575
GABA,Ankrd34b,0.26534396,5.7189636
nIPC,Arhgap11a,0.25979787,5.34763
Immature-Astro,Lxn,0.2566623,4.765836
Immature-Astro,Gm9881,0.25422996,5.8602085
nIPC,Ube2c,0.24724169,6.3455563
Immature-GC,Sstr2,0.24548757,2.8874507
RGL_young,Veph1,0.24418664,4.786323
RGL_young,Tfap2c,0.22094376,4.752674
RGL_young,Fam210b,0.21334292,3.9294937
RGL,Gm10561,0.11340701,5.155372
RGL,Rorc,0.10386704,5.7327785
